tract,no_vehicle,no_vehicle_universe,no_vehicle_pct,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
06037109601,10,1330,0.8,District 3,Los Angeles - Mission Hills,SPA 2 - San Fernando,7414,24327553.3300781,20047.8650112953
06037109603,41,1268,3.2,District 3,Los Angeles - Mission Hills,SPA 2 - San Fernando,7415,10751151.0771484,13424.2796976847
06037109604,44,873,5,District 3,Los Angeles - Mission Hills,SPA 2 - San Fernando,7416,12653709.8955078,14351.5983047847
06037109700,57,1383,4.1,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,7417,17187332.4287109,17925.4026288896
06037109800,84,1490,5.6,District 3,Los Angeles - North Hills,SPA 2 - San Fernando,7418,15020694.4951172,16573.9834328906
06037111100,19,936,2,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,7419,11389460.5732422,13559.3841736023
06037111201,12,1030,1.2,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,7420,20422124.8144531,25160.05716791
06037111202,128,1931,6.6,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,7421,20088990.9599609,20750.4595212886
06037111204,43,1825,2.4,District 3,Los Angeles - Porter Ranch,SPA 2 - San Fernando,7422,35796838.0058594,25671.7621448083
06037111205,21,1344,1.6,District 3,Los Angeles - Northridge,SPA 2 - San Fernando,7423,12510977.3164062,14704.3464082662
06037111206,17,1364,1.2,District 3,Los Angeles - Porter Ranch,SPA 2 - San Fernando,7424,28254587.3808594,24017.9955238273
06037111302,176,1757,10,District 3,Los Angeles - Northridge,SPA 2 - San Fernando,7425,16688621.9257812,17841.3257248712
06037111303,0,1449,0,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,7426,16839648.4707031,18128.3784563807
06037111304,12,1344,0.9,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,7427,4698362.54492188,8760.47577129834
06037111401,32,686,4.7,District 3,Los Angeles - North Hills,SPA 2 - San Fernando,7428,9088755.96191406,12350.6903806317
06037111402,449,2158,20.8,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,7429,10445291.0800781,13232.4831879952
06037113101,87,1198,7.3,District 3,Los Angeles - Chatsworth,SPA 2 - San Fernando,7430,24470864.6025391,21320.4415956716
06037113102,17,1036,1.6,District 3,Los Angeles - Chatsworth,SPA 2 - San Fernando,7431,39188167.3203125,24707.0824296264
06037113211,49,1624,3,District 3,Los Angeles - Chatsworth,SPA 2 - San Fernando,7432,78523164.8056641,37624.866444185
06037113212,25,972,2.6,District 3,Los Angeles - Chatsworth,SPA 2 - San Fernando,7433,10616259.8193359,14122.7447933869
06037113213,40,1725,2.3,District 3,Los Angeles - Chatsworth,SPA 2 - San Fernando,7434,13967351.8974609,16838.9201584259
06037113231,15,850,1.8,District 3,Unincorporated - West Chatsworth,SPA 2 - San Fernando,7435,44809082.1621094,42106.6200250577
06037113232,0,1539,0,District 3,Los Angeles - West Hills,SPA 2 - San Fernando,7436,22012355.6738281,23299.9135753035
06037113234,104,1665,6.2,District 3,Los Angeles - Canoga Park,SPA 2 - San Fernando,7437,10966615.4716797,16773.9241021886
06037113235,6,677,0.9,District 3,Unincorporated - Lake Manor,SPA 2 - San Fernando,7438,14701757.3330078,28345.5687204172
06037113237,80,1551,5.2,District 3,Los Angeles - Chatsworth,SPA 2 - San Fernando,7439,51197742.8515625,36157.595351314
06037113238,101,1445,7,District 3,Los Angeles - Canoga Park,SPA 2 - San Fernando,7440,7593954.89648438,10850.4038664315
06037113239,173,857,20.2,District 3,Los Angeles - Canoga Park,SPA 2 - San Fernando,7441,4738085.32226562,9738.9775847419
06037113301,200,1637,12.2,District 3,Los Angeles - Northridge,SPA 2 - San Fernando,7442,24238364.2373047,22493.9283676644
06037113303,57,1355,4.2,District 3,Los Angeles - Chatsworth,SPA 2 - San Fernando,7443,44020903.9667969,30964.7177926767
06037113322,98,1540,6.4,District 3,Los Angeles - Chatsworth,SPA 2 - San Fernando,7444,19184402.5439453,20113.5046411879
06037113323,74,1487,5,District 3,Los Angeles - Chatsworth,SPA 2 - San Fernando,7445,7772517.08984375,11011.5180617902
06037113324,59,995,5.9,District 3,Los Angeles - Chatsworth,SPA 2 - San Fernando,7446,3492130.75585938,7928.50910219711
06037113423,16,868,1.8,District 3,Los Angeles - Winnetka,SPA 2 - San Fernando,7447,7649753.99804688,11075.1134184283
06037113424,103,1087,9.5,District 3,Los Angeles - Northridge,SPA 2 - San Fernando,7448,18738326.0625,20657.6485127715
06037113425,94,1346,7,District 3,Los Angeles - Canoga Park,SPA 2 - San Fernando,7449,3667047.21777344,7971.43452624458
